,commune,codepostal,carburants,latitude,longitude,nombre,liste_complete_carburants,departement
1,PLEAUX,15700,"['Gazole', 'SP98', 'SP95']",45.13329,2.22044,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
2,THURY-HARCOURT,14220,"['E10', 'Gazole', 'SP98', 'SP95']",49.3457338784,-0.761315920218,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
3,LION-SUR-MER,14780,"['Gazole', 'SP98', 'SP95']",49.30174,-0.31818,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
4,VERSON,14790,"['E10', 'Gazole', 'SP98', 'SP95']",49.1560609258,-0.450125951956,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
5,AURILLAC,15000,"['E10', 'Gazole', 'SP98']",44.91624,2.4374,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
6,AURILLAC,15000,"['Gazole', 'SP98', 'SP95']",44.92209,2.43381,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
7,LAFEUILLADE-EN-VéZIE,15130,"['E10', 'Gazole', 'SP98']",44.7875839813,2.4560200536,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
8,SAINT-ÉTIENNE-DE-MAURS,15600,"['Gazole', 'SP98', 'SP95']",44.7148386029,2.20242907484,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
9,Giou-de-Mamou,15130,"['Gazole', 'SP95']",44.92795,2.50733,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
10,AURILLAC,15000,"['E10', 'Gazole']",44.9134193799,2.43120866586,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
11,AURILLAC,15000,"['Gazole', 'SP98', 'GPLc', 'SP95']",44.9091521744,2.42441831845,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
12,Murat,15300,"['Gazole', 'SP95']",45.10753,2.86304,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
13,MAURS,15600,"['E10', 'Gazole', 'SP98', 'GPLc']",44.7065,2.19514,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
14,Auberville,14640,"['Gazole', 'SP98', 'SP95']",49.30689,-0.02705,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
15,ANGOULêME,16000,"['E10', 'Gazole', 'E85', 'SP98']",45.64268,0.13526,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",16
16,Honfleur,14600,"['E10', 'Gazole', 'SP98']",49.41657,0.25936,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
17,Condat,15190,"['Gazole', 'SP98', 'SP95']",45.33928,2.76682,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
18,MASSIAC,15500,['Gazole'],45.25241,3.19775,1,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
20,AURILLAC,15000,"['Gazole', 'SP95']",44.9229752815,2.42765387928,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
21,COLLEVILLE-MONTGOMERY,14880,"['E10', 'Gazole', 'SP98']",49.27912,-0.29681,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
22,GIBERVILLE,14730,"['E10', 'Gazole', 'SP98', 'GPLc']",49.16711,-0.28803,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
23,BRETTEVILLE-SUR-LAIZE,14680,"['Gazole', 'SP98', 'SP95']",49.04543,-0.3238,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
24,BENOUVILLE,14970,"['E10', 'Gazole', 'SP98', 'SP95']",49.23708,-0.28543,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
25,Mauriac,15200,"['Gazole', 'SP98', 'SP95']",45.2225,2.34049,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
26,SAINT-FLOUR,15100,"['Gazole', 'SP98', 'GPLc', 'SP95']",45.0379560774,3.06524943213,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
27,LES MENUIRES,73440,"['Gazole', 'SP98', 'SP95']",45.3313357919,6.5360313083,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",73
28,AURILLAC,15000,"['Gazole', 'SP95']",44.9333844678,2.45007665476,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
29,AURILLAC,15000,"['Gazole', 'SP98', 'GPLc', 'SP95']",44.91394,2.42741,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
30,FALAISE,14700,"['Gazole', 'SP98', 'SP95']",48.8962986744,-0.192409332928,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
31,MASSIAC,15500,"['E10', 'Gazole', 'SP95']",45.25592,3.19866,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",15
32,FALAISE,14700,"['Gazole', 'SP98', 'GPLc', 'SP95']",48.90689,-0.2087,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",14
